epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8687438368797302,0.9480410814285278,9.999999747378752e-06,0.28693410754203796,0.9663093686103821,0.8495455980300903,0.8157894611358643,0.9542720913887024,0.446672648191452,0.8027989864349365,0.9905808568000793
1,0.8613837361335754,0.9433003664016724,9.999999747378752e-06,0.302251935005188,0.9637625217437744,0.8414674997329712,0.4725400507450104,0.9442766308784485,1.6680768728256226,1.0,0.27629512548446655
2,0.869725227355957,0.9524570107460022,9.999999747378752e-06,0.2801210582256317,0.9695919752120972,0.8478626608848572,0.8684210777282715,0.9766740202903748,0.2958836555480957,0.9887640476226807,0.8288853764533997
3,0.8726692795753479,0.9493520259857178,9.999999747378752e-06,0.28289860486984253,0.9682964086532593,0.8532480597496033,0.5938215255737305,0.9761772751808167,0.8614608645439148,0.9964788556098938,0.4442700147628784
4,0.8783120512962341,0.9559319615364075,9.999999747378752e-06,0.2653152346611023,0.9699962139129639,0.8596432209014893,0.2711670398712158,0.6545085906982422,4.506929874420166,0.0,0.0
5,0.8716879487037659,0.953686535358429,9.999999747378752e-06,0.27351969480514526,0.9714946150779724,0.8488724231719971,0.2711670398712158,0.6083202362060547,4.839618682861328,0.0,0.0
6,0.8861628770828247,0.9602006673812866,4.999999873689376e-06,0.25196337699890137,0.9735549688339233,0.8673847317695618,0.8569794297218323,0.9799859523773193,0.30701279640197754,0.99042147397995,0.8116169571876526
7,0.8827281594276428,0.956026554107666,4.999999873689376e-06,0.26604220271110535,0.9716231822967529,0.8643554449081421,0.513729989528656,0.9760414361953735,1.1136205196380615,0.9953271150588989,0.3343799114227295
8,0.8822374939918518,0.9567831158638,4.999999873689376e-06,0.26329874992370605,0.971601665019989,0.8636822700500488,0.5366132855415344,0.9682881832122803,1.3272275924682617,1.0,0.3642072081565857
9,0.8888616561889648,0.9647507071495056,2.499999936844688e-06,0.24040181934833527,0.9761724472045898,0.8687310814857483,0.9118993282318115,0.9823209047317505,0.2037009745836258,0.9878048896789551,0.8901098966598511
10,0.8881255984306335,0.9616580605506897,2.499999936844688e-06,0.24883922934532166,0.9711502194404602,0.8724335432052612,0.31922197341918945,0.9551166296005249,2.16292142868042,1.0,0.06593406945466995
11,0.8842002153396606,0.9634206891059875,2.499999936844688e-06,0.24493595957756042,0.9702672362327576,0.8677213191986084,0.6510297656059265,0.9809961318969727,0.7725277543067932,0.9970059990882874,0.5227629542350769
12,0.8849362134933472,0.9642626643180847,2.499999936844688e-06,0.2411717176437378,0.972432017326355,0.8667115569114685,0.3615560531616211,0.9716961979866028,1.6977794170379639,1.0,0.1240188404917717
13,0.8837094902992249,0.9639179706573486,1.249999968422344e-06,0.2434561550617218,0.973814070224762,0.8636822700500488,0.8340961337089539,0.9819566011428833,0.36739489436149597,0.9919999837875366,0.7786499261856079
14,0.8910696506500244,0.9646112322807312,1.249999968422344e-06,0.23702703416347504,0.9744648933410645,0.8734433054924011,0.8077803254127502,0.9817479252815247,0.4391153156757355,0.9936842322349548,0.7409732937812805
